"Name","nearby_parks"
"Grundschule Lehrer-Götz-Weg München",2
"Gymnasium Fürstenried",2
"Private Pestalozzi Realschule München",2
"Grundschule an der Emmy-Noether-Straße",2
"Joseph-von-Fraunhofer-Schule - Staatliche Realschule München II",2
NULL,2
"Mittelschule an der Ridlerstraße",1
"Echo Music School",1
"Grundschule Aidenbachstraße",1
"Mittelschule an der Walliser Straße",1
"Förderzentrum München-Ost",1
"Grundschule Burmesterstraße 23",1
"Schulzentrum Fürstenried-West",1
"Schwimmbad",1
"Fachschule für Farb- und Lacktechnik",1
"Städtisches berufliches Schulzentrum für Farbe und Gestaltung",1
"Städtische Berufsschule für elektrische Anlagen- und Gebäudetechnik",1
"Städtische Berufsschule für Farbe und Gestaltung",1
"Jules-Vernes-Campus",1
"Städtische Berufsschule für Finanz-, Immobilien- und Automobilwirtschaft",1
"Städtische Berufsschule für Industrieelektronik",1
"Bildungscampus Freiham",1
"Städtisches Theodolinden-Gymnasium",1
"Sonderpädagogisches Förderzentrum München-Mitte 4",1
"Christophorus-Schule",1
"Grund- und Mittelschule an der Walliser Straße",1
"Grundschule an der Dieselstraße",1
"Städtische Meisterschule für das Maler- und Lackiererhandwerk",1
"Montessori Schule München",1
"Technikerschule München - Städtische Fachschule für Maschinenbau-, Mechatronik-, Metallbau-, Informatik- und Elektrotechnik",1
"Städtische Carl-von-Linde Realschule München",1
"St. George’s School Munich",1
"Rotbuchenschule",1
"Thomas-Mann-Gymnasium",1
"Staatliche Berufsschule München-Land",1
"Grundschule und Tagesheim",1
"Städtische Fachschule für Farb- und Lacktechnik",1
"Mittelschule am Echardinger Grünstreifen",1
"Staatliche Fachoberschule München-West",1
"Grundschule an der Walliser Straße",1
"Grundschule an der Astrid-Lindgren-Straße",1
"Aton-Schule",1
"Städtische Ludwig-Thoma-Realschule",1
"Nadischule",1
"Adolf-Kolping-Berufsschule",1
"Städtische Meisterschule für das Vergolderhandwerk",1
"Lehrinstitut Derksen",1
"Gymnasium Freiham",1
"Städt. Berufsschule für Rechts- und Verwaltungsberufe",1
"Schulcampus Ungererstraße 191",1
"Friedel-Eder-Schule",0
"Galli",0
"Georg-Büchner-Realschule",0
"Gertrud-Bäumer-Grundschule",0
"Gisela-Gymnasium",0
"Grillviertel",0
"Grund- u. Mittelschule Guardinistraße",0
"Grund- und Mittelschule am Winthirplatz 6",0
"Grund- und Mittelschule an der Alfonsstraße",0
"Grund- und Mittelschule an der Fromundstraße 5",0
"Grund- und Mittelschule an der Führichstraße 53",0
"Grund- und Mittelschule an der Hochstraße",0
"Grund- und Mittelschule an der Implerstraße",0
"Grund- und Mittelschule an der Knappertsbuschstraße",0
"Grund- und Mittelschule an der Lehrer-Wirth-Straße 31",0
"Grund- und Mittelschule an der Peslmüllerstraße",0
"Grund- und Mittelschule an der Rockefellerstraße 11",0
"Grund- und Mittelschule an der Schrobenhausener Straße",0
"Grund- und Mittelschule an der Stuntzstraße 55",0
"Grund- und Mittelschule an der Toni-Pfülf-Straße",0
"Grund- und Mittelschule an der Torquato-Tasso-Straße",0
"Grund- und Mittelschule an der Weilerstraße",0
"Grund u- Mittelschule Grosshaderner Straße",0
"Grundschule - Tagesheim - Kindertagesstätte An der St.-Martin-Straße 30",0
"Grundschule am Amphionpark",0
"Grundschule am Bauhausplatz",0
"Grundschule am Bayernplatz",0
"Grundschule am Canisiusplatz",0
"Grundschule am Gärtnerplatz",0
"Grundschule am Gotzinger Platz",0
"Grundschule am Hedernfeld",0
"Grundschule am Hildegard-von-Bingen-Anger",0
"Grundschule am Karl-Marx-Ring",0
"Grundschule am Mariahilfplatz",0
"Grundschule am Pfanzeltplatz",0
"Grundschule am Ravensburger Ring",0
"Grundschule am Schererplatz",0
"Grundschule am Schubinweg",0
"Grundschule am Strehleranger",0
"Grundschule an der Bäckerstraße",0
"Grundschule an der Bad-Soden-Straße 27",0
"Grundschule an der Baierbrunner Straße 53",0
"Grundschule an der Balanstraße 153",0
"Grundschule an der Bergmannstraße",0
"Grundschule an der Berner Straße",0
"Grundschule an der Blutenburgstraße",0
"Grundschule an der Boschetsrieder Straße",0
"Grundschule an der Droste-Hülshoff-Straße",0
"Grundschule an der Eversbuschstraße 182",0
"Grundschule an der Farinellistraße",0
"Grundschule an der Feldbergstraße",0
"Grundschule an der Flurstraße",0
"Grundschule an der Forstenrieder Allee",0
"Grundschule an der Fritz-Lutz-Straße",0
"Grundschule an der Fröttmaninger Straße",0
"Grundschule an der Gebelestraße",0
"Grundschule an der Gerastraße",0
"Grundschule an der Gilmstraße",0
"Grundschule an der Gilmstraße 46 & Sonderpädagogisches Förderzentrum München Mitte 3 — am Westpark",0
"Grundschule an der Gotzmannstraße",0
"Grundschule an der Grafinger Straße",0
"Grundschule an der Grandlstraße",0
"Grundschule an der Haimhauserstraße",0
"Grundschule an der Hanselmannstraße",0
"Grundschule an der Helmholtzstraße",0
"Grundschule an der Helsinkistraße",0
"Grundschule an der Hermine-von-Parish-Straße",0
"Grundschule an der Herrnstraße",0
"Grundschule an der Herterichstraße",0
"Grundschule an der Hugo-Wolf-Straße",0
"Grundschule an der Infanteriestraße 25",0
"Grundschule an der Ittlingerstraße",0
"Grundschule an der Kirchenstraße",0
"Grundschule an der Klenzestraße",0
"Grundschule an der Lerchenauer Straße 322",0
"Grundschule an der Limesstraße",0
"Grundschule an der Manzostraße",0
"Grundschule an der Menaristraße",0
"Grundschule an der Oberföhringer Straße",0
"Grundschule an der Oselstraße",0
"Grundschule an der Ostpreußenstraße 88",0
"Grundschule an der Paulckestraße",0
"Grundschule an der Pfarrer-Grimm-Straße",0
"Grundschule an der Plinganserstraße",0
"Grundschule an der Plinganserstraße - Außenstelle Meindlstraße",0
"Grundschule an der Regina-Ullmann-Straße 6",0
"Grundschule an der Ruth-Drexel-Straße",0
"Grundschule an der Sambergerstraße 14",0
"Grundschule an der Schäferwiese",0
"Grundschule an der Schwindstraße",0
"Grundschule an der St.-Veit-Straße 46",0
"Grundschule an der Südlichen Auffahrtsallee",0
"Grundschule an der Theoder-Fischer-Straße",0
"Grundschule an der Türkenstraße",0
"Grundschule an der Turnerstraße",0
"Grundschule an der Waldmeisterstraße",0
"Grundschule an der Weißenseestraße",0
"Grundschule an der Werdenfelsstraße",0
"Grundschule Aubinger Allee 152",0
"Grundschule Berg-am-Laim",0
"Grundschule Blumenau",0
"Grundschule Dachauer Straße",0
"Grundschule Dietzfelbingerplatz 5",0
"Grundschule Feldmochinger Straße 251",0
"Grundschule Gänselieselstraße 33",0
"Grundschule Guldeinschule",0
"Grundschule Gustl-Bayrhammer-Straße",0
"Grundschule im Werksviertel",0
"Grundschule Kafkastraße 9",0
"Grundschule Königswieser Straße",0
"Grundschule Konrad-Celtis-Straße",0
"Grundschule Maria-Ward-Straße",0
"Grundschule Max-Kolmsperger-Straße 6",0
"Grundschule mit Tagesheim an der Jenaer Straße",0
"Grundschule mit Tagesheim an der Margarethe-Danzi-Straße 17",0
"Grundschule mit Tagesheim an der Thelottstraße 20",0
"Grundschule mit Tagesheim Theodor-Heuss-Platz 6",0
"Grundschule Rennertstraße 10",0
"Grundschule Schwanthalerstraße",0
"Grundschule Stielerstraße 6",0
"Grundschule Tumblingerstrasse",0
"Grundschule und Städtischer Hort an der Türkenstraße 68",0
"Grundschule und Tagesstätte Ichostraße 2",0
"Grundschule Von-der-Pfordten-Straße (ehemals Camerloher Straße)",0
"Gut Warnberg Schulgelände",0
"Gymnasium Feldmoching",0
"Gymnasium Max-Josef-Stift",0
"Gymnasium München-Nord",0
