"school_id","school_name","address","nearest_park_distance_m"
61,"Grundschule an der Türkenstraße","Türkenstraße 68",3717.9
62,"Grundschule und Städtischer Hort an der Türkenstraße 68","Türkenstraße 68",3710.5
206,"Städtische Helen-Keller-Realschule","Oettingenstraße 78",3663.0
428,"Galli","Türkenstraße 86",3624.5
319,"Rudolf-Steiner-Schule","Leopoldstraße 17",3388.5
312,"Städtische Berufsschule zur Berufsvorbereitung","Bogenhauser Kirchplatz 3",3312.8
102,"Grundschule am Gärtnerplatz","Klenzestraße 27",3309.2
258,"EAM School of International Business","Frauenplatz 11",3307.5
94,"Städtische Riemerschmid Wirtschaftsschule München","Frauenstraße 19",3303.0
152,"Staatliches Luitpold-Gymnasium","Seeaustraße 1",3284.3
291,"Otto-Falckenberg-Schule","Falckenbergstraße 2",3279.5
343,"Grundschule an der Herrnstraße","Herrnstraße 21",3269.9
338,"Förderschule an der Herrnstraße","Herrnstraße 21",3267.0
317,"Sankt-Anna-Grundschule","Sankt-Anna-Straße 22",3263.7
103,"Mathilde-Eller-Schule / Heilpädagogische Tagesstätte Klenzestraße","Klenzestraße 27",3243.2
90,"Sankt-Anna-Gymnasium","Sankt-Anna-Straße 20",3232.5
313,"Bilinguale Grundschule Phorms",NULL,3230.7
290,"Otto-Falckenberg-Schule","Stollbergstraße 7a",3196.7
314,"Bilinguales Gymnasium Phorms",NULL,3188.0
323,"Theresia-Gerhardinger-Grundschule am Anger",NULL,3080.9
