"district_number","district_name","total_schools"
"16","Ramersdorf-Perlach",42
"19","Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln",31
"05","Au-Haidhausen",29
"09","Neuhausen-Nymphenburg",28
"02","Ludwigsvorstadt-Isarvorstadt",26
"21","Pasing-Obermenzing",26
"03","Maxvorstadt",23
"12","Schwabing-Freimann",22
"04","Schwabing-West",22
"15","Trudering-Riem",21
"13","Bogenhausen",19
"01","Altstadt-Lehel",17
"07","Sendling-Westpark",16
"24","Feldmoching-Hasenbergl",16
"11","Milbertshofen-Am Hart",15
"17","Obergiesing-Fasangarten",15
"06","Sendling",14
"22","Aubing-Lochhausen-Langwied",14
"14","Berg am Laim",14
"10","Moosach",11
"20","Hadern",10
"18","Untergiesing-Harlaching",10
"23","Allach-Untermenzing",10
"25","Laim",8
"08","Schwanthalerhöhe",5
