"Name","distance_m"
"Städtische Meisterschule für das Maler- und Lackiererhandwerk",75.39090108525203
"Thomas-Mann-Gymnasium",77.38797630675481
"Städtische Berufsschule für Farbe und Gestaltung",83.44166595640537
"Städtisches berufliches Schulzentrum für Farbe und Gestaltung",84.20480024508593
"Städtische Fachschule für Farb- und Lacktechnik",101.84475823494047
"Städtische Meisterschule für das Vergolderhandwerk",105.9984178449119
"Grundschule an der Emmy-Noether-Straße",157.03732250966596
"Grundschule Aidenbachstraße",162.05389551150213
"Aton-Schule",177.2628682968332
"Städt. Berufsschule für Rechts- und Verwaltungsberufe",179.63470138280033
"Grundschule und Tagesheim",203.79034723845749
"Rotbuchenschule",216.33187259257514
"Städtische Berufsschule für elektrische Anlagen- und Gebäudetechnik",221.31363268339086
"Städtisches Theodolinden-Gymnasium",223.9180057572747
"Echo Music School",227.25703409492695
"Fachschule für Farb- und Lacktechnik",236.71056350377157
"Städtische Berufsschule für Industrieelektronik",238.89643613463673
"Mittelschule am Echardinger Grünstreifen",240.7702271255407
"Nadischule",248.50428033592706
"Staatliche Berufsschule München-Land",260.3321094905476
"Technikerschule München - Städtische Fachschule für Maschinenbau-, Mechatronik-, Metallbau-, Informatik- und Elektrotechnik",260.769503706852
"Städtische Berufsschule für Finanz-, Immobilien- und Automobilwirtschaft",261.99959439351346
"Sonderpädagogisches Förderzentrum München-Mitte 4",269.07303872380027
"Private Pestalozzi Realschule München",277.75031248631353
"Staatliche Fachoberschule München-West",285.9573832129027
NULL,291.9445250700308
"Bildungscampus Freiham",292.0565329208977
"Gymnasium Fürstenried",292.3856903676075
"Jules-Vernes-Campus",292.3915594960758
"Gymnasium Freiham",303.9992042900351
"Adolf-Kolping-Berufsschule",329.39276926996115
"Christophorus-Schule",330.6497290373196
"Joseph-von-Fraunhofer-Schule - Staatliche Realschule München II",351.5019519583542
"Schulzentrum Fürstenried-West",357.8550620167436
"Förderzentrum München-Ost",367.62835044407075
"St. George’s School Munich",374.0009898605206
"Montessori Schule München",381.99747323685034
"Grundschule an der Walliser Straße",394.9704422665985
"Städtische Carl-von-Linde Realschule München",406.16269178425995
"Grundschule Lehrer-Götz-Weg München",438.1419801386831
"Lehrinstitut Derksen",450.1872106576395
"Mittelschule an der Ridlerstraße",461.89205897049584
"Grund- und Mittelschule an der Walliser Straße",465.02203488063896
"Grundschule Burmesterstraße 23",466.43082373090624
"Schwimmbad",469.54197417961734
"Mittelschule an der Walliser Straße",474.53531442056965
"Städtische Ludwig-Thoma-Realschule",474.8257449740771
"Schulcampus Ungererstraße 191",475.3428322561758
"Grundschule an der Dieselstraße",484.349532142217
"Grundschule an der Astrid-Lindgren-Straße",487.9842141793526
"Berufsschule zur Berufsvorbereitung",517.7125878848715
"Grundschule an der Gotzmannstraße",519.1255343360073
"Forellenschule",530.0010640485962
"Isar Grundschule / Privates Gymnasium Huber",530.5032538694993
"SDI-Campus",534.2597227887608
"Grundschule an der Fritz-Lutz-Straße",537.6494099154794
"Grundschule an der Grafinger Straße",546.7064878114834
"Michaeli-Gymnasium München",557.4503778987
"Grund- und Mittelschule an der Führichstraße 53",563.7608674725794
"Grundschule am Ravensburger Ring",564.3669237212177
"Grundschule Aubinger Allee 152",576.6604170174784
"Grundschule an der Bergmannstraße",576.734315480126
"Staatliche Realschule München VI",579.0166690190335
"Grundschule am Schubinweg",607.5301335098197
"Mittelschule an der Wiesentfelser Straße",616.77543794392
"campus42",617.2910325930061
"Grundschule Rennertstraße 10",623.7322445545702
"Grundschule Königswieser Straße",632.8195689880254
"Städtisches Heinrich-Heine-Gymnasium",632.9360248971045
"Grundschule Dietzfelbingerplatz 5",634.8353092474767
"Grundschule an der Baierbrunner Straße 53",648.0991624703757
"Grundschule an der Limesstraße",652.0763769935296
"Grundschule Gustl-Bayrhammer-Straße",659.6571498464771
"Mittelschule an der Franz-Nißl-Straße",670.5606258656481
"Friedel-Eder-Schule",672.4356789699223
"Abraxas Musical Akademie",679.9168784343693
"Walner-Akademie für Rettungsmedizin",694.3728507474991
"Pythagoras-Schule",717.7912581107176
"Grundschule an der St.-Veit-Straße 46",728.3498915987133
"Grundschule an der Herterichstraße",732.5517786658481
"Grundschule an der Paulckestraße",741.3510073417095
"Europäische Schule München",749.4731354903679
"BildungsLokal Neuaubing-Westkreuz",757.4369759300077
