"school_id","school_name","address","nearest_park_distance_m"
457,"Städtische Meisterschule für das Maler- und Lackiererhandwerk","Carl-Wery-Straße 41",75.39090108525203
306,"Thomas-Mann-Gymnasium",NULL,77.38797630675481
459,"Städtische Berufsschule für Farbe und Gestaltung","Carl-Wery-Straße 41",83.44166595640537
285,"Städtisches berufliches Schulzentrum für Farbe und Gestaltung","Carl-Wery-Straße 41",84.20480024508593
458,"Städtische Fachschule für Farb- und Lacktechnik","Carl-Wery-Straße 41",101.84475823494047
456,"Städtische Meisterschule für das Vergolderhandwerk","Carl-Wery-Straße 41",105.9984178449119
418,"Grundschule an der Emmy-Noether-Straße","Emmy-Noether-Straße 5",157.03732250966596
305,"Grundschule Aidenbachstraße",NULL,162.05389551150213
412,"Aton-Schule","Bayerwaldstraße 3-5",177.2628682968332
454,"Städt. Berufsschule für Rechts- und Verwaltungsberufe","Astrid-Lindgren-Straße 1",179.63470138280033
197,"Grundschule und Tagesheim",NULL,203.79034723845749
293,"Rotbuchenschule","Rotbuchenstraße 81",216.33187259257514
347,"Städtische Berufsschule für elektrische Anlagen- und Gebäudetechnik","Bergsonstraße 109",221.31363268339086
294,"Städtisches Theodolinden-Gymnasium","Am Staudengarten 2",223.9180057572747
337,"Echo Music School","Naupliastraße 36",227.25703409492695
365,"Fachschule für Farb- und Lacktechnik","Hofmannstraße 42",236.71056350377157
350,"Städtische Berufsschule für Industrieelektronik","Bergsonstraße 109",238.89643613463673
463,"Mittelschule am Echardinger Grünstreifen","Innsbrucker Ring 75",240.7702271255407
221,"Nadischule",NULL,248.50428033592706
74,"Staatliche Berufsschule München-Land","Graf-Lehndorff-Straße 28",260.3321094905476
349,"Technikerschule München - Städtische Fachschule für Maschinenbau-, Mechatronik-, Metallbau-, Informatik- und Elektrotechnik","Bergsonstraße 109",260.769503706852
455,"Städtische Berufsschule für Finanz-, Immobilien- und Automobilwirtschaft","Astrid-Lindgren-Straße 1",261.99959439351346
462,"Sonderpädagogisches Förderzentrum München-Mitte 4","Innsbrucker Ring 75",269.07303872380027
383,"Private Pestalozzi Realschule München","Truderinger Straße 265b",277.75031248631353
348,"Staatliche Fachoberschule München-West","Bergsonstraße 109",285.9573832129027
208,NULL,NULL,291.9445250700308
240,"Bildungscampus Freiham",NULL,292.0565329208977
356,"Gymnasium Fürstenried",NULL,292.3856903676075
132,"Jules-Vernes-Campus",NULL,292.3915594960758
447,"Gymnasium Freiham","Hildegard-Hamm-Brücher-Straße 5",303.9992042900351
235,"Adolf-Kolping-Berufsschule",NULL,329.39276926996115
73,"Christophorus-Schule","Leibengerstraße 16",330.6497290373196
284,NULL,NULL,349.73706616846255
357,"Joseph-von-Fraunhofer-Schule - Staatliche Realschule München II",NULL,351.5019519583542
223,"Schulzentrum Fürstenried-West",NULL,357.8550620167436
70,"Förderzentrum München-Ost","Astrid-Lindgren-Straße 5",367.62835044407075
274,"St. George’s School Munich",NULL,374.0009898605206
390,"Montessori Schule München","Heiglhofstraße 63",381.99747323685034
9,"Grundschule an der Walliser Straße","Walliser Straße 5",394.9704422665985
220,"Städtische Carl-von-Linde Realschule München","Ridlerstraße 26",406.16269178425995
256,"Grundschule Lehrer-Götz-Weg München","Lehrer-Götz-Weg 21",438.1419801386831
332,"Lehrinstitut Derksen","Pfingstrosenstraße 73",450.1872106576395
219,"Mittelschule an der Ridlerstraße","Ridlerstraße 26",461.89205897049584
222,"Grund- und Mittelschule an der Walliser Straße","Walliser Straße 5",465.02203488063896
141,"Grundschule Burmesterstraße 23",NULL,466.43082373090624
166,"Schwimmbad",NULL,469.54197417961734
161,"Mittelschule an der Walliser Straße",NULL,474.53531442056965
269,"Städtische Ludwig-Thoma-Realschule",NULL,474.8257449740771
275,"Schulcampus Ungererstraße 191","Ungererstraße 191",475.3428322561758
242,"Grundschule an der Dieselstraße","Dieselstraße 12",484.349532142217
346,"Grundschule an der Astrid-Lindgren-Straße","Astrid-Lindgren-Straße 11",487.9842141793526
451,"Berufsschule zur Berufsvorbereitung",NULL,517.7125878848715
57,"Grundschule an der Gotzmannstraße","Gotzmannstraße 19",519.1255343360073
84,NULL,NULL,528.0929531812545
181,"Forellenschule","Forellenstraße 5",530.0010640485962
237,"Isar Grundschule / Privates Gymnasium Huber",NULL,530.5032538694993
91,"SDI-Campus","Baierbrunner Straße 28",534.2597227887608
131,"Grundschule an der Fritz-Lutz-Straße","Fritz-Lutz-Straße 24",537.6494099154794
382,"Grundschule an der Grafinger Straße","Grafinger Straße 71",546.7064878114834
191,"Michaeli-Gymnasium München","Hachinger-Bach-Straße 25",557.4503778987
31,"Grund- und Mittelschule an der Führichstraße 53","Führichstraße 53",563.7608674725794
47,"Grundschule am Ravensburger Ring","Ravensburger Ring 37",564.3669237212177
17,NULL,NULL,572.2211241459967
227,"Grundschule Aubinger Allee 152","Aubinger Allee 152",576.6604170174784
101,"Grundschule an der Bergmannstraße","Bergmannstraße 36",576.734315480126
26,"Staatliche Realschule München VI","Paul-Hindemith-Allee 7",579.0166690190335
58,"Grundschule am Schubinweg","Schubinweg 3",607.5301335098197
40,"Mittelschule an der Wiesentfelser Straße","Wiesentfelser Straße 53",616.77543794392
446,"campus42",NULL,617.2910325930061
85,"Grundschule Rennertstraße 10","Rennertstraße 10",623.7322445545702
309,NULL,NULL,626.9968215161675
441,"Grundschule Königswieser Straße","Bühler Weg 2",632.8195689880254
33,"Städtisches Heinrich-Heine-Gymnasium","Max-Reinhardt-Weg 27",632.9360248971045
32,"Grundschule Dietzfelbingerplatz 5","Dietzfelbingerplatz 5",634.8353092474767
286,"Grundschule an der Baierbrunner Straße 53",NULL,648.0991624703757
23,"Grundschule an der Limesstraße","Limesstraße 38",652.0763769935296
226,"Grundschule Gustl-Bayrhammer-Straße",NULL,659.6571498464771
78,"Mittelschule an der Franz-Nißl-Straße","Franz-Nißl-Straße 55",670.5606258656481
20,"Friedel-Eder-Schule","Max-Proebstl-Straße 11",672.4356789699223
400,"Abraxas Musical Akademie","Hofmannstraße 5",679.9168784343693
396,"Walner-Akademie für Rettungsmedizin","Stefan-George-Ring 23",694.3728507474991
438,"Pythagoras-Schule","Ernsbergerstraße 3",717.7912581107176
448,"Grundschule an der St.-Veit-Straße 46","Sankt-Veit-Straße 46",728.3498915987133
327,"Grundschule an der Herterichstraße","Herterichstraße 41",732.5517786658481
143,"Grundschule an der Paulckestraße",NULL,741.3510073417095
51,"Europäische Schule München","Elise-Aulinger-Straße 21",749.4731354903679
394,"BildungsLokal Neuaubing-Westkreuz",NULL,757.4369759300077
77,"Grundschule am Pfanzeltplatz",NULL,767.0149712845431
41,"Mittelschule an der Reichenaustraße","Reichenaustraße 3",769.2468694424307
224,NULL,NULL,769.9818979330481
93,"Grundschule Guldeinschule","Guldeinstraße 27",771.4282980658286
59,"Rudolf-Steiner-Schule","Max-Proebstl-Straße 7",778.2174218790375
245,"Montessori Fachoberschule München",NULL,779.1290362511346
277,"Städtische Grundschule an der Pfeuferstraße 1","Pfeuferstraße 1",783.417097422596
160,"Grundschule an der Lerchenauer Straße 322","Lerchenauer Straße 322",789.6720277728058
225,"Städtischer Berufsschulcampus Moosach","Riesstraße 30-44",793.6135990651765
68,"Grundschule am Canisiusplatz","Canisiusplatz 2",794.1030141213328
288,"Zweigstelle Böglstraße der Grundschule am Pfanzeltplatz",NULL,798.9018881847275
402,"Grund- und Mittelschule an der Peslmüllerstraße","Peslmüllerstraße 8",804.1582883625206
60,NULL,NULL,807.9471364196404
54,"Nymphenburger Schulen","Sadelerstraße 10",809.1614148876758
202,"Grundschule an der Hanselmannstraße","Hanselmannstraße 45",823.461312870131
243,"Mittelschule an der Situlistraße",NULL,828.9034549784141
401,"Städtisches Bertolt-Brecht-Gymnasium","Peslmüllerstraße 6",845.1477595990054
364,"Evangelische PflegeAkademie – Berufsfachschule für Altenpflege","Baierbrunner Straße 105",855.6649513600665
393,"Städtische Berufsschule für Körperpflege","Haager Straße 18",861.8674180142035
322,NULL,NULL,867.4463638269536
24,"Keilberthschule",NULL,872.0798575010913
129,"Grundschule an der Boschetsrieder Straße","Boschetsrieder Straße 35",890.6540672125092
248,"Grundschule mit Tagesheim an der Jenaer Straße",NULL,896.494907718631
76,"Grundschule an der Schäferwiese","An der Schäferwiese 5",905.5032068375313
292,"Grundschule im Werksviertel",NULL,906.8360374256678
196,"Maria-Ward Mädchenrealschule",NULL,912.5465725059641
436,"Städtische Elly-Heuss-Realschule","Paul-Wassermann-Straße 14",918.074954426129
344,"Mittelschule Feldbergstraße","Feldbergstraße 85",941.6070262754512
106,"Pavillion",NULL,960.6896681842809
273,"Jan-Amos-Comenius-Schule",NULL,970.2186050638011
244,"Grundschule am Amphionpark",NULL,972.7303903192462
157,"Feldbergschule",NULL,973.2654883953562
435,"Münchner Volkshochschule","Paul-Wassermann-Straße 10",974.4313997603897
110,"Mittelschule am Inzeller Weg 4",NULL,981.083699652727
437,"Gymnasium München Riem","Paul-Wassermann-Straße 18",989.1208244354998
464,"Gymnasium Feldmoching","Georg-Zech-Allee 16",1000.5343771016568
249,"Mittelschule München Moosach","Leipziger Straße 7",1013.7714715094214
210,"Waldklassenzimmer",NULL,1024.7645647083023
97,"Städtische Carl-Spitzweg-Realschule","Zwiedineckstraße 35",1026.190884605257
345,"Grundschule an der Feldbergstraße","Feldbergstraße 85",1026.6438143586186
148,"Grundschule an der Forstenrieder Allee",NULL,1032.8642052593145
16,"Karlsgymnasium","Am Stadtpark 21",1038.7532525810145
