"district_number","district_name","total_schools","poor_access_schools"
"05","Au-Haidhausen",29,29
"09","Neuhausen-Nymphenburg",28,27
"16","Ramersdorf-Perlach",42,27
"02","Ludwigsvorstadt-Isarvorstadt",26,26
"03","Maxvorstadt",23,23
"04","Schwabing-West",22,22
"01","Altstadt-Lehel",17,17
"21","Pasing-Obermenzing",26,16
"07","Sendling-Westpark",16,16
"13","Bogenhausen",19,15
"17","Obergiesing-Fasangarten",15,15
"12","Schwabing-Freimann",22,14
"24","Feldmoching-Hasenbergl",16,14
"06","Sendling",14,13
"11","Milbertshofen-Am Hart",15,12
"19","Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln",31,11
"25","Laim",8,8
"23","Allach-Untermenzing",10,8
"18","Untergiesing-Harlaching",10,7
"20","Hadern",10,7
"10","Moosach",11,6
"15","Trudering-Riem",21,6
"14","Berg am Laim",14,2
"22","Aubing-Lochhausen-Langwied",14,1
"08","Schwanthalerhöhe",5,0
