"district_number","district_name","total_schools","poor_access_schools","poor_access_percentage"
"05","Au-Haidhausen",29,29,100.0
"02","Ludwigsvorstadt-Isarvorstadt",26,26,100.0
"03","Maxvorstadt",23,23,100.0
"04","Schwabing-West",22,22,100.0
"01","Altstadt-Lehel",17,17,100.0
"07","Sendling-Westpark",16,16,100.0
"17","Obergiesing-Fasangarten",15,15,100.0
"25","Laim",8,8,100.0
"09","Neuhausen-Nymphenburg",28,27,96.4
"06","Sendling",14,13,92.9
"24","Feldmoching-Hasenbergl",16,14,87.5
"11","Milbertshofen-Am Hart",15,12,80.0
"23","Allach-Untermenzing",10,8,80.0
"13","Bogenhausen",19,15,78.9
"18","Untergiesing-Harlaching",10,7,70.0
"20","Hadern",10,7,70.0
"16","Ramersdorf-Perlach",42,27,64.3
"12","Schwabing-Freimann",22,14,63.6
"21","Pasing-Obermenzing",26,16,61.5
"10","Moosach",11,6,54.5
"19","Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln",31,11,35.5
"15","Trudering-Riem",21,6,28.6
"14","Berg am Laim",14,2,14.3
"22","Aubing-Lochhausen-Langwied",14,1,7.1
"08","Schwanthalerhöhe",5,0,0.0
