"school_id","school_name","address","nearest_park_distance_m","access_category"
61,"Grundschule an der Türkenstraße","Türkenstraße 68",3717.9282934660273,">1000 m"
62,"Grundschule und Städtischer Hort an der Türkenstraße 68","Türkenstraße 68",3710.5210364447544,">1000 m"
206,"Städtische Helen-Keller-Realschule","Oettingenstraße 78",3662.960701787904,">1000 m"
428,"Galli","Türkenstraße 86",3624.500378737275,">1000 m"
319,"Rudolf-Steiner-Schule","Leopoldstraße 17",3388.5078363322177,">1000 m"
312,"Städtische Berufsschule zur Berufsvorbereitung","Bogenhauser Kirchplatz 3",3312.822918936421,">1000 m"
102,"Grundschule am Gärtnerplatz","Klenzestraße 27",3309.1661357829444,">1000 m"
258,"EAM School of International Business","Frauenplatz 11",3307.47151929729,">1000 m"
94,"Städtische Riemerschmid Wirtschaftsschule München","Frauenstraße 19",3303.0158580028065,">1000 m"
152,"Staatliches Luitpold-Gymnasium","Seeaustraße 1",3284.270869399992,">1000 m"
291,"Otto-Falckenberg-Schule","Falckenbergstraße 2",3279.4953974762207,">1000 m"
343,"Grundschule an der Herrnstraße","Herrnstraße 21",3269.934086870286,">1000 m"
338,"Förderschule an der Herrnstraße","Herrnstraße 21",3266.964603150342,">1000 m"
317,"Sankt-Anna-Grundschule","Sankt-Anna-Straße 22",3263.670849332304,">1000 m"
103,"Mathilde-Eller-Schule / Heilpädagogische Tagesstätte Klenzestraße","Klenzestraße 27",3243.247700602319,">1000 m"
90,"Sankt-Anna-Gymnasium","Sankt-Anna-Straße 20",3232.4847936444417,">1000 m"
313,"Bilinguale Grundschule Phorms",NULL,3230.7141024584457,">1000 m"
290,"Otto-Falckenberg-Schule","Stollbergstraße 7a",3196.712587428017,">1000 m"
314,"Bilinguales Gymnasium Phorms",NULL,3187.9781565915014,">1000 m"
323,"Theresia-Gerhardinger-Grundschule am Anger",NULL,3080.8820896968623,">1000 m"
